movie_title,year,genre,duration,director,description,avg_vote,reviews_from_users,reviews_from_critics
Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,James Mangold,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.4,341.0,115.0
The Naked Monster,2005,"Comedy, Horror, Sci-Fi",100,"Wayne Berwick, Ted Newsom","A brain-dead sheriff, a stolid secret agent and a sexy scientist team with a grumpy retired monster fighter to battle a 60 foot, three-eyed cross between man and dinosaur.",5.4,15.0,8.0
The Fantasticks,2000,"Musical, Romance",86,Michael Ritchie,A mysterious fair that comes to a small community in the countryside could make real the illusions of two teenagers.,5.6,70.0,24.0
For the Cause,2000,"Action, Adventure, Drama",100,"David Douglas, Tim Douglas",Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their ...,3.5,9.0,7.0
The Silent Force,2001,Action,90,David H. May,An elite Federal force whose objective is to eliminate organized crime is violently assassinated by an evil Asian crime lord. The sole survivor of the group teams up with his late partner's...,4.3,5.0,4.0
What Is It?,2005,Drama,72,Crispin Glover,"What Is It? is a bewildering, unnerving, surreal, blackly comic film from the visionary mind of Crispin Glover that tells the inner and outer struggles of a young man facing villains and demons on multiple planes.",5.6,19.0,18.0
Glitter,2001,"Drama, Music, Romance",104,Vondie Curtis-Hall,"A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",2.2,319.0,75.0
Horror in the Attic,2001,"Comedy, Horror, Mystery",100,Jeremy Kasten,"Trevor is a young man who has been sentenced to a long stay in a mental hospital after brutally killing his girlfriend. However, the longer Trevor is in stir, the more he wonders if the ...",5.0,65.0,22.0
Beyond the Pale,2000,Drama,96,George Bazala,A young Irishman enters the US illegally with his wayward friend Seamus. Landing in New York the pair start out with dreams of striking it rich but soon find themselves in dead-end jobs and...,6.2,9.0,
Chinese Coffee,2000,Drama,99,Al Pacino,"Harry and Jake, two unsuccessful writers, spend a cathartic evening arguing about money, aesthetics, their friendship, and Harry's new manuscript.",7.1,16.0,7.0
The Junior Defenders,2007,Comedy,83,Keith Spiegel,A deranged fan goes on a mission to kidnap the former cast of a 1970s kids superhero show in order to produce his own episode.,4.3,2.0,1.0
Love 101,2000,"Comedy, Drama, Romance",86,Adrian Fulle,"A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?",4.7,7.0,4.0
Vulgar,2000,"Crime, Drama, Thriller",87,Bryan Johnson,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,5.3,119.0,23.0
Ricochet River,2001,Drama,112,Deborah Del Prete,"High school seniors Wade and Lorna have spent all their lives in the small logging town of Calamus Grove, a conservative place where change comes slowly. Jesse Howl, a teenager of Native American ancestry.",4.8,7.0,1.0
X-Men,2000,"Action, Adventure, Sci-Fi",104,Bryan Singer,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",7.4,1448.0,311.0
Men in Black II,2002,"Action, Adventure, Comedy",88,Barry Sonnenfeld,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,6.2,650.0,201.0
Titan A.E.,2000,"Animation, Action, Adventure",94,"Don Bluth, Gary Goldman",A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,6.6,396.0,135.0
Le follie dell'imperatore,2000,"Animation, Adventure, Comedy",78,Mark Dindal,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",7.3,330.0,139.0
Star Wars: Episodio II - L'attacco dei cloni,2002,"Action, Adventure, Fantasy",142,George Lucas,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",6.5,3660.0,325.0
Star Wars: Episodio III - La vendetta dei Sith,2005,"Action, Adventure, Fantasy",140,George Lucas,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",7.5,3569.0,391.0
You're Killing Me...,2003,"Action, Comedy, Crime",86,Antoni Stutz,You're killing Me is a contemporary coming of age comedy/thriller revolving around three young women seeking revenge on the irredeemable men in their lives.,4.6,6.0,2.0
Alibi di cristallo,2000,"Drama, Thriller",99,Kikuo Kawasaki,"Elsie Townsend is a country towns-girl who wants to leave far away and get rich. She becomes the spoiled mistress of married local businessman Rick Chambers, but when his sickly wife Martha...",4.8,3.0,3.0
Serial Killing 4 Dummys,2004,"Comedy, Horror, Mystery",89,Trace Slobotkin,"When a disgruntled high school senior gets hassled for his lack of ambition, he decides to devote his energy into becoming a serial killer. He starts out small until he meets the girl of his dreams who wants to be his first victim.",5.3,14.0,7.0
Return to Me,2000,"Comedy, Drama, Romance",115,Bonnie Hunt,A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,6.9,292.0,54.0
Bruno,2000,"Comedy, Drama",108,Shirley MacLaine,"Bruno is the story of a unique young boy genius, Bruno (Alex D. Linz), whose expression of his own individuality leads his family and community along an emotional journey. By the time he ...",6.1,28.0,9.0
Elmer - Un elfo combinaguai,2000,"Comedy, Family",90,Rodney McDonald,"Young elf Elmer wants to become a real boy. He steals Santa's sleigh and escapes to the real world, where he meets a young girl who needs a heart transplant.",3.4,1.0,2.0
