,year,movie_title,awards_wins,awards_nominations,oscar_best_picture_won,oscar_best_director_won,oscar_best_actor_won,oscar_best_actress_won,oscar_best_supporting_actor_won,oscar_best_supporting_actress_won,oscar_best_adascreen_won,oscar_best_oriscreen_won
0,2001,Kate & Leopold,1,4,False,False,False,False,False,False,False,False
1,2000,Chicken Run,5,11,False,False,False,False,False,False,False,False
2,2005,Fantastic Four,0,0,False,False,False,False,False,False,False,False
3,2002,Frida,2,12,False,False,False,False,False,False,False,False
4,2001,The Lord of the Rings: The Fellowship of the Ring,26,67,False,False,False,False,False,False,False,False
5,2000,Mission: Impossible II,1,2,False,False,False,False,False,False,False,False
6,2002,Resident Evil,0,0,False,False,False,False,False,False,False,False
7,2000,X-Men,0,3,False,False,False,False,False,False,False,False
8,2000,The Emperor's New Groove,2,7,False,False,False,False,False,False,False,False
9,2005,Corpse Bride,0,5,False,False,False,False,False,False,False,False
10,2002,Star Wars: Episode II - Attack of the Clones,0,6,False,False,False,False,False,False,False,False
11,2005,Star Wars: Episode III - Revenge of the Sith,2,7,False,False,False,False,False,False,False,False
12,2001,Shrek,9,22,False,False,False,False,False,False,False,False
13,2001,Planet of the Apes,0,5,False,False,False,False,False,False,False,False
14,2002,Treasure Planet,0,1,False,False,False,False,False,False,False,False
15,2000,Pitch Black,0,0,False,False,False,False,False,False,False,False
16,2001,Training Day,2,7,False,False,True,False,False,False,False,False
17,2000,U-571,0,0,False,False,False,False,False,False,False,False
18,2000,American Psycho,0,3,False,False,False,False,False,False,False,False
19,2002,Spider-Man,1,6,False,False,False,False,False,False,False,False
20,2001,Lara Croft: Tomb Raider,0,0,False,False,False,False,False,False,False,False
21,2000,High Fidelity,0,7,False,False,False,False,False,False,False,False
22,2000,The Flintstones in Viva Rock Vegas,0,0,False,False,False,False,False,False,False,False
23,2003,Cold Mountain,5,35,False,False,False,False,False,True,False,False
24,2000,Charlie's Angels,0,1,False,False,False,False,False,False,False,False
25,2001,Nowhere in Africa,0,1,False,False,False,False,False,False,False,False
26,2000,Cast Away,6,15,False,False,False,False,False,False,False,False
