,release_year,movie_title,country,genre,wiki_page
12450,2000, 102 Dalmatians,USA,"comedy, family",https://en.wikipedia.org/wiki/102_Dalmatians
12451,2000,28 Days,USA,drama,https://en.wikipedia.org/wiki/28_Days_(film)
12452,2000,3 Strikes,USA,comedy,https://en.wikipedia.org/wiki/3_Strikes_(film)
12453,2000,The 6th Day,USA,science fiction,https://en.wikipedia.org/wiki/The_6th_Day
12454,2000,The Adventures of Rocky and Bullwinkle,USA,comedy,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle
12455,2000,All the Pretty Horses,USA,western,https://en.wikipedia.org/wiki/All_the_Pretty_Horses_(film)
12456,2000,Almost Famous,USA,"comedy, drama",https://en.wikipedia.org/wiki/Almost_Famous
12457,2000,American Psycho,USA,"comedy, thriller",https://en.wikipedia.org/wiki/American_Psycho_(film)
12458,2000,Animal Factory,USA,crime drama,https://en.wikipedia.org/wiki/Animal_Factory
12459,2000,The Art of War,USA,action,https://en.wikipedia.org/wiki/The_Art_of_War_(film)
12460,2000,Autumn in New York,USA,romance,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film)
12461,2000, Bait,USA,action,https://en.wikipedia.org/wiki/Bait_(2000_film)
12462,2000,Bamboozled,USA,satire,https://en.wikipedia.org/wiki/Bamboozled
12463,2000,Battlefield Earth,USA,science fiction,https://en.wikipedia.org/wiki/Battlefield_Earth_(film)
12464,2000,The Beach,USA,adventure,https://en.wikipedia.org/wiki/The_Beach_(film)
12465,2000,Beat,USA,drama,https://en.wikipedia.org/wiki/Beat_(2000_film)
12466,2000,Beautiful,USA,comedy,https://en.wikipedia.org/wiki/Beautiful_(2000_film)
12467,2000,Beautiful Joe,USA,"comedy, drama",https://en.wikipedia.org/wiki/Beautiful_Joe_(film)
12468,2000,Bedazzled,USA,comedy,https://en.wikipedia.org/wiki/Bedazzled_(2000_film)
12469,2000,Before Night Falls,USA,biography,https://en.wikipedia.org/wiki/Before_Night_Falls_(film)
12470,2000,Best in Show,USA,mockumentary,https://en.wikipedia.org/wiki/Best_in_Show_(film)
12471,2000,Big Momma's House,USA,comedy,https://en.wikipedia.org/wiki/Big_Momma%27s_House
12472,2000,The Big Tease,USA,comedy,https://en.wikipedia.org/wiki/The_Big_Tease
12473,2000,Bless the Child,USA,thriller,https://en.wikipedia.org/wiki/Bless_the_Child
12474,2000,Boiler Room,USA,drama,https://en.wikipedia.org/wiki/Boiler_Room_(film)
12475,2000,Book of Shadows: Blair Witch 2,USA,horror,https://en.wikipedia.org/wiki/Book_of_Shadows:_Blair_Witch_2
12476,2000,Bounce,USA,drama,https://en.wikipedia.org/wiki/Bounce_(film)
12477,2000,Boys and Girls,USA,comedy,https://en.wikipedia.org/wiki/Boys_and_Girls_(2000_film)
12478,2000,Bring It On,USA,comedy,https://en.wikipedia.org/wiki/Bring_It_On_(film)
12479,2000,The Broken Hearts Club: A Romantic Comedy,USA,comedy,https://en.wikipedia.org/wiki/The_Broken_Hearts_Club:_A_Romantic_Comedy
12480,2000,Brother,USA,crime drama,https://en.wikipedia.org/wiki/Brother_(2000_film)
12481,2000, Cast Away,USA,adventure,https://en.wikipedia.org/wiki/Cast_Away
12482,2000,Cecil B. Demented,USA,comedy,https://en.wikipedia.org/wiki/Cecil_B._Demented
12483,2000,The Cell,USA,science fiction,https://en.wikipedia.org/wiki/The_Cell
12484,2000,Center Stage,USA,musical,https://en.wikipedia.org/wiki/Center_Stage_(2000_film)
12485,2000,Charlie's Angels,USA,action,https://en.wikipedia.org/wiki/Charlie%27s_Angels_(film)
12486,2000,Cherry Falls,USA,thriller,https://en.wikipedia.org/wiki/Cherry_Falls
12487,2000,Chinese Coffee,USA,drama,https://en.wikipedia.org/wiki/Chinese_Coffee
12488,2000,Chocolat,USA,romance,https://en.wikipedia.org/wiki/Chocolat_(2000_film)
12489,2000,Chuck & Buck,USA,comedy,https://en.wikipedia.org/wiki/Chuck_%26_Buck
12490,2000,The Contender,USA,drama,https://en.wikipedia.org/wiki/The_Contender_(2000_film)
12491,2000,Coyote Ugly,USA,comedy,https://en.wikipedia.org/wiki/Coyote_Ugly_(film)
12492,2000,The Crew,USA,comedy,https://en.wikipedia.org/wiki/The_Crew_(2000_film)
12493,2000,The Crossing,USA,historical drama,https://en.wikipedia.org/wiki/The_Crossing_(2000_film)
12494,2000, Digimon: The Movie,USA,"animation, adventure",https://en.wikipedia.org/wiki/Digimon:_The_Movie
12495,2000,Dinosaur,USA,animation,https://en.wikipedia.org/wiki/Dinosaur_(film)
12496,2000,Down to You,USA,comedy,https://en.wikipedia.org/wiki/Down_to_You
12497,2000,Dr. T & the Women,USA,romantic comedy,https://en.wikipedia.org/wiki/Dr._T_%26_the_Women
12498,2000,Dracula 2000,USA,horror,https://en.wikipedia.org/wiki/Dracula_2000
12499,2000,Drowning Mona,USA,comedy,https://en.wikipedia.org/wiki/Drowning_Mona
12500,2000,"Dude, Where's My Car?",USA,comedy,"https://en.wikipedia.org/wiki/Dude,_Where%27s_My_Car%3F"
12501,2000,Duets,USA,"drama, musical",https://en.wikipedia.org/wiki/Duets_(film)
